,sentence1,sentence2,pronoun,referent,wrong_referent
9316,The knife sliced through the parking fence near the garden,It was protecting the garden from the wind,It,fence,knife
9317,The proactive people stood up against the unjust government,They were exploiting the poor,They,government,people
9318,The determined birds picked at the seeds,They were delicious,They,seeds,birds
9319,The accurate sniper executed the terrorist,He was a ruthless bomber,He,terrorist,sniper
9320,The hardworking bee was focused on the flower,It was gathering nectar,It,bee,flower
9321,The storm hindered the commercial flight,It was putting lives in peril,It,storm,flight
9322,The chaotic storm made the flight,It was carrying a VIP,It,flight,storm
9323,The heavy-duty knife punctured the fence near the garden,It was obstructive and imposing,It,fence,knife
9324,The sudden storm destroyed the international flight,It was putting travelers in danger,It,storm,flight
9325,The sniper assassinated the terrorist,He was a precise assassin,He,sniper,terrorist
9326,The enthusiastic heart drove energy-providing blood that supported life,It was a heart-supporting fluid,It,blood,heart
9327,The winning sniper killed the terrorist,He was a successful killer,He,sniper,terrorist
9328,The students delved into the stimulating books,They were entertaining,They,books,students
9329,The storm suspended the morning flight,It was causing flash floods,It,storm,flight
9330,The irresponsible sailors escaped from the unsound boats,They were tipping over,They,boats,sailors
9331,The birds feasted on the seeds,They were observant,They,birds,seeds
9332,The knife cut through the fence surrounding the pool,It was rusty and corroded,It,fence,knife
9333,The precise sniper assassinated the terrorist,He was a brutal launderer,He,terrorist,sniper
9334,The sailors escaped off the unsound boats,They were overworked,They,sailors,boats
9335,The winning sniper took out the terrorist,He was a top shooter,He,sniper,terrorist
9336,The monstrous storm battered the flight,It was flying to Hawaii,It,flight,storm
9337,The clever bee sipped nectar from the generous flower,It was producing nectar,It,flower,bee
9338,The innovative people staged a walkout against the government,They were suppressing free speech,They,government,people
9339,The birds foraged for the seeds,They were a delight,They,seeds,birds
9340,The bee examined the flower,It was brimming with nectar,It,flower,bee
9341,The productive bee was always on the flower,It was rich with nectar,It,flower,bee
9342,The sailors escaped from the boats,They were not paying attention,They,sailors,boats
9343,The unyielding heart pumped blood with unwavering attention,It was a agile muscle,It,heart,blood
9344,The accurate sniper fired the terrorist,He was a veteran sharpshooter,He,sniper,terrorist
9345,The innovative people organized a strike against the dishonest government,They were violating privacy rights,They,government,people
9346,The knife scraped the old fence with care,It was a sharp blade,It,knife,fence
9347,The students absorbed the thought-provoking books,They were gaining valuable information,They,students,books
9348,The sailors leapt off the boats,They were facing unexpected challenges,They,sailors,boats
9349,The proactive people took to the streets against the out-of-touch government,They were perpetuating violence,They,government,people
9350,The students scrutinized the books,They were gaining insight,They,students,books
9351,The people picketed the government building against the dismissive government,They were seeking competence,They,people,government
9352,The storm pounded the international flight,It was putting lives in peril,It,storm,flight
9353,The chaotic storm interrupted the flight,It was carrying cargo,It,flight,storm
9354,The clever bee rested on the intricate flower,It was offering nectar,It,flower,bee
9355,The adventurous bee hovered over the symmetrical flower,It was overflowing with nectar,It,flower,bee
9356,The sailors sprang from the rundown boats,They were seeking safety,They,sailors,boats
9357,The knife punctured the weak fence surrounding the garden,It was old and decrepit,It,fence,knife
9358,The people formed a picket line against the government,They were neglecting their duties,They,government,people
9359,The storm disrupted the flight,It was making road conditions hazardous,It,storm,flight
9360,The sniper took aim the terrorist,He was a dangerous money launderer,He,terrorist,sniper
9361,The clever bee flew to the productive flower,It was in full bloom,It,flower,bee
9362,The diligent students explored the contemporary books,They were filled with knowledge,They,books,students
9363,The heart moved blood-pressure-controlling blood with great force,It was a unswerving organ,It,heart,blood
9364,The acrobatic birds found the overflowing seeds,They were smoky,They,seeds,birds
9365,The dull knife severed the soccer fence surrounding the pool,It was a separating the garden from the street,It,fence,knife
9366,The energetic people formed a human chain against the government,They were seeking competence,They,people,government
9367,The opportunistic birds chased the scrumptious seeds,They were flying in the sky,They,birds,seeds
9368,The sturdy knife scratched the soccer fence with power,It was a sharp tool,It,knife,fence
9369,The determined birds flitted to the mouth-watering seeds,They were indulging in their preferences,They,birds,seeds
9370,The hardworking students pored over the useful books,They were exploring new ideas,They,students,books
9371,The students analyzed the books,They were struggling to stay awake,They,students,books
9372,The busy birds fought for the tall seeds,They were a juicy food,They,seeds,birds
9373,The sniper assassinated the terrorist,He was a accurate marksman,He,sniper,terrorist
9374,The storm devastated the international flight,It was putting travelers in danger,It,storm,flight
9375,The people gathered to demonstrate against the government,They were taking bribes,They,government,people
9376,The determined students read the ancient books,They were written by experts,They,books,students
9377,The sniper targeted the terrorist,He was a dangerous warmonger,He,terrorist,sniper
9378,The storm shattered the scheduled flight,It was flying to Hawaii,It,flight,storm
9379,The skilled sailors leaped off the boats,They were not properly operated,They,boats,sailors
9380,The powerful storm caused trouble for the flight,It was carrying important documents,It,flight,storm
9381,The unyielding heart pushed blood with unwavering attention,It was a harmonious organ,It,heart,blood
9382,The dull knife sliced through the soccer fence with a swift motion,It was surprisingly effective,It,knife,fence
9383,The precise sniper took aim the terrorist,He was a top marksman,He,sniper,terrorist
9384,The heart beat blood that sustained life,It was a immune-boosting fluid,It,blood,heart
9385,The toned heart beat vitamin-rich blood that rejuvenated cells,It was a healing liquid,It,blood,heart
9386,The active bee hovered over the sweet flower,It was a treasure,It,flower,bee
9387,The quick heart pumped blood with care,It was a energetic muscle,It,heart,blood
9388,The smart sailors dove off the boats,They were facing malfunctions,They,boats,sailors
9389,The powerful knife severed the school fence rapidly,It was a separating the playground from the parking lot,It,fence,knife
9390,The passionate people started a petition against the inhumane government,They were denying basic freedoms,They,government,people
9391,The students reinterpreted the self-help books,They were seeking answers,They,students,books
9392,The heart pushed blood that supported life,It was a digestive liquid,It,blood,heart
9393,The treacherous storm battered the commercial flight,It was flying to Hawaii,It,flight,storm
9394,The heart circulated blood with a clear intention,It was a enthusiastic organ,It,heart,blood
9395,The sniper fired the terrorist,He was a notorious murderer,He,terrorist,sniper
9396,The imaginative students studied the useful books,They were difficult to understand,They,books,students
9397,The sharp knife punctured the swimming fence surrounding the park,It was sharp and well-maintained,It,knife,fence
9398,The proactive people gathered for a rally against the government,They were spreading hope,They,people,government
9399,The veteran sailors sprang from the equipped boats,They were navigating poorly,They,sailors,boats
9400,The unpredictable storm pounded the flight,It was carrying cargo,It,flight,storm
9401,The students scrutinized the insightful books,They were filled with data,They,books,students
9402,The imaginative bee flew to the flower,It was a valuable resource,It,flower,bee
9403,The determined students explored the imaginative books,They were breaking new ground,They,students,books
9404,The winning sniper targeted the terrorist,He was a talented sharpshooter,He,sniper,terrorist
9405,The enthusiastic students examined the humorous books,They were laughing out loud,They,students,books
9406,The peaceful people gathered for a rally against the government,They were representing all voices,They,people,government
9407,The resilient people took to the streets against the dishonest government,They were suppressing dissent,They,government,people
9408,The eager birds tried the delectable seeds,They were seasoned to perfection,They,seeds,birds
9409,The hungry birds flitted to the fertile seeds,They were tempting,They,seeds,birds
9410,The adventurous students delved into the stimulating books,They were visually stunning,They,books,students
9411,The adventurous students reviewed the intricate books,They were staying informed,They,students,books
9412,The swift birds experimented with the seeds,They were a delicious snack,They,seeds,birds
9413,The starving birds found the seeds,They were a flavorful food,They,seeds,birds
9414,The colorful birds approached the seeds,They were an exciting treat,They,seeds,birds
9415,The accurate sniper assassinated the terrorist,He was a veteran marksman,He,sniper,terrorist
9416,The skillful heart circulated blood-pressure-controlling blood that supported life,It was a life-essential liquid,It,blood,heart
9417,The destructive storm posed a threat to the flight,It was producing tornadoes,It,storm,flight
9418,The brave students researched the humorous books,They were containing valuable information,They,books,students
9419,The people formed a human chain against the government,They were fighting for freedom,They,people,government
9420,The sniper executed the terrorist,He was a notorious dealer,He,terrorist,sniper
9421,The bee ventured to the flower,It was a popular destination,It,flower,bee
9422,The bee descended on the lovely flower,It was loaded with pollen,It,flower,bee
9423,The serrated knife punctured the fence smoothly,It was old and decrepit,It,fence,knife
9424,The storm affected the morning flight,It was putting lives in peril,It,storm,flight
9425,The storm threatened the morning flight,It was producing tornadoes,It,storm,flight
9426,The heart beat rejuvenating blood with a clear intention,It was a robust organ,It,heart,blood
9427,The knife punctured the old fence with one quick strike,It was heavy-duty and efficient,It,knife,fence
9428,The hungry birds approached the scattered seeds,They were a irresistible snack,They,seeds,birds
9429,The sailors tumbled off the boats,They were having technical problems,They,boats,sailors
9430,The intense storm hindered the commercial flight,It was carrying cargo,It,flight,storm
9431,The bee flew from the flower,It was delicious,It,flower,bee
9432,The birds delicately ate the tall seeds,They were looking for a meal,They,birds,seeds
9433,The sailors plunged off the top-heavy boats,They were suffering structural damage,They,boats,sailors
9434,The untiring heart moved skin-nourshing blood that nourished cells,It was a heart-supporting liquid,It,blood,heart
9435,The skilled bee was always on the flower,It was attracting attention,It,flower,bee
9436,The plucky birds pecked at the overlooked seeds,They were surviving,They,birds,seeds
9437,The eager students delved into the imaginative books,They were providing new insights,They,books,students
9438,The skilled sailors escaped from the boats,They were prone to capsize,They,boats,sailors
9439,The sailors dropped off the boats,They were not properly operated,They,boats,sailors
9440,The heart moved blood that fought infections,It was a muscle-oxygenating fluid,It,blood,heart
9441,The passionate heart circulated blood with care,It was a well-functioning organ,It,heart,blood
9442,The sniper neutralized the ruthless terrorist,He was a barbaric money launderer,He,terrorist,sniper
9443,The plucky birds gobbled down the seeds,They were tantalizing,They,seeds,birds
9444,The precise sniper executed the terrorist,He was a top killer,He,sniper,terrorist
9445,The sharp knife scraped the construction fence surrounding the park,It was a rusted and weak,It,fence,knife
9446,The resilient people staged a sit-in against the unjust government,They were denying justice,They,government,people
9447,The resourceful sniper eliminated the terrorist,He was a successful marksman,He,sniper,terrorist
9448,The precise sniper targeted the terrorist,He was a talented shooter,He,sniper,terrorist
9449,The chaotic storm interrupted the flight,It was carrying important documents,It,flight,storm
9450,The hard-working students immersed themselves in the enriching books,They were seeking new insights,They,students,books
9451,The relentless storm disrupted the morning flight,It was putting lives in peril,It,storm,flight
9452,The brutal storm caused a delay for the flight,It was headed for Europe,It,flight,storm
9453,The unskilled sailors dove off the boats,They were not safe,They,boats,sailors
9454,The activist people held a hunger strike against the government,They were seeking reform,They,people,government
9455,The enthusiastic students analyzed the thought-provoking books,They were taking their education seriously,They,students,books
9456,The precision knife scraped the fence separating the yards,It was enclosing the private property,It,fence,knife
9457,The birds sampled the scrumptious seeds,They were searching for food,They,birds,seeds
9458,The birds chose the slow seeds,They were flavorsome,They,seeds,birds
9459,The sharp knife sliced through the parking fence easily,It was a old and rusted,It,fence,knife
9460,The sailors plunged into the unprotected boats,They were breaking apart,They,boats,sailors
9461,The knife punctured the fence quickly,It was rotten and weakened by time,It,fence,knife
9462,The sniper executed the terrorist,He was a brutal guy,He,terrorist,sniper
9463,The unready sailors threw themselves off the boats,They were experiencing mechanical failure,They,boats,sailors
9464,The sniper killed the terrorist,He was a accurate shooter,He,sniper,terrorist
9465,The adventurous bee was always on the symmetrical flower,It was producing honey,It,flower,bee
9466,The expert sailors dropped off the boats,They were taking on water,They,boats,sailors
9467,The acrobatic birds experimented with the delectable seeds,They were looking for new flavors,They,birds,seeds
9468,The eager birds feasted on the exotic seeds,They were a joyful food,They,seeds,birds
9469,The energetic people formed a picket line against the out-of-touch government,They were speaking truth to power,They,people,government
9470,The self-assured heart pumped energy-providing blood that nourished cells,It was a fluid-balancing fluid,It,blood,heart
9471,The creative heart pushed life-enhancing blood that supported life,It was a anti-inflammatory fluid,It,blood,heart
9472,The bee flew to the sweet flower,It was harvesting nectar,It,bee,flower
9473,The sudden storm caused trouble for the flight,It was causing flash floods,It,storm,flight
9474,The passionate heart drove immune-boosting blood that supported life,It was a life-supporting fluid,It,blood,heart
9475,The hardworking students delved into the self-help books,They were sharpening their critical thinking,They,students,books
9476,The treacherous storm threatened the commercial flight,It was making road conditions hazardous,It,storm,flight
9477,The sailors tumbled off the ill-designed boats,They were ignoring the warnings,They,sailors,boats
9478,The bee approached the flower,It was tireless,It,bee,flower
9479,The people staged a march against the dishonest government,They were violating election laws,They,government,people
9480,The monstrous storm delayed the commercial flight,It was putting travelers in danger,It,storm,flight
9481,The storm devastated the scheduled flight,It was making road conditions hazardous,It,storm,flight
9482,The sailors escaped off the boats,They were repairing the hull,They,sailors,boats
9483,The serrated knife severed the fence separating the yards,It was blocking the entrance,It,fence,knife
9484,The knowledgeable sailors plunged off the boats,They were tipping over,They,boats,sailors
9485,The police arrested the criminals through the park,They were carrying illegal weapons,They,criminals,police
9486,The sniper targeted the ruthless terrorist,He was a winning sharpshooter,He,sniper,terrorist
9487,The storm pounded the flight,It was creating dangerous conditions,It,storm,flight
9488,The storm postponed the morning flight,It was bringing high winds,It,storm,flight
9489,The sniper killed the terrorist,He was a precise shooter,He,sniper,terrorist
9490,The innovative people stood together against the corrupt government,They were engaging in torture,They,government,people
9491,The fearless people picketed the government building against the government,They were denying basic needs,They,government,people
9492,The imaginative bee flew over the fruitful flower,It was filled with pollen,It,flower,bee
9493,The birds munched on the seeds,They were full of flavor,They,seeds,birds
9494,The sniper targeted the terrorist,He was a brutal warlord,He,terrorist,sniper
9495,The precise sniper took aim the brutal terrorist,He was a vicious money launderer,He,terrorist,sniper
9496,The sharp knife cut through the fence quickly,It was easily damaged and ineffective,It,fence,knife
9497,The raging storm caused the commercial flight,It was flying to Hawaii,It,flight,storm
9498,The sniper targeted the terrorist,He was a dangerous bomb maker,He,terrorist,sniper
9499,The people staged a demonstration against the government,They were denying fair trials,They,government,people
9500,The eager bee descended on the flowering flower,It was collecting essential pollen,It,bee,flower
9501,The eager students reinterpreted the books,They were well-written,They,books,students
9502,The sniper assassinated the terrorist,He was a precise killer,He,sniper,terrorist
9503,The unskilled sailors jumped off the boats,They were malfunctioning,They,boats,sailors
9504,The indomitable heart moved muscle-oxygenating blood that rejuvenated cells,It was a vitalizing liquid,It,blood,heart
9505,The creative students studied the adventurous books,They were embracing their strengths,They,students,books
9506,The heart circulated life-enhancing blood that nourished cells,It was a vital fluid,It,blood,heart
9507,The knife scratched the parking fence surrounding the garden,It was natural and organic,It,fence,knife
9508,The birds chirped and ate the seeds,They were exploring their surroundings,They,birds,seeds
9509,The sniper took down the notorious terrorist,He was a winning marksman,He,sniper,terrorist
9510,The diligent heart moved skin-nourshing blood that sustained life,It was a vitalizing liquid,It,blood,heart
9511,The fearless people staged a rally against the out-of-touch government,They were neglecting their duties,They,government,people
9512,The storm destroyed the flight,It was bringing high winds,It,storm,flight
9513,The eager bee flew to the alluring flower,It was full of pollen,It,flower,bee
9514,The fearless heart moved blood with unwavering attention,It was a steadfast organ,It,heart,blood
9515,The eager students read through the books,They were visually stunning,They,books,students
9516,The fearless people led a march against the government,They were making a difference,They,people,government
9517,The smart sailors leapt off the boats,They were suffering structural damage,They,boats,sailors
9518,The hardworking students read through the humorous books,They were discovering new worlds,They,students,books
9519,The snacking birds pecked at the seeds,They were a fun treat,They,seeds,birds
9520,The sailors jumped from the poorly-stocked boats,They were navigating through rough waves,They,sailors,boats
9521,The persistent birds nibbled on the scrumptious seeds,They were having fun,They,birds,seeds
9522,The police caught the criminals through the city,They were quick and elusive,They,criminals,police
9523,The sniper took out the terrorist,He was a winning sharpshooter,He,sniper,terrorist
9524,The storm obstructed the commercial flight,It was full of passengers,It,flight,storm
9525,The adventurous students discussed the self-help books,They were enriching their lives,They,students,books
9526,The unstoppable heart beat blood with assurance,It was a focused organ,It,heart,blood
9527,The people formed a picket line against the government,They were demanding freedom,They,people,government
9528,The passionate heart pushed blood with determination,It was a tenacious organ,It,heart,blood
9529,The accurate sniper assassinated the terrorist,He was a talented shooter,He,sniper,terrorist
9530,The serrated knife scraped the fence firmly,It was freshly painted,It,fence,knife
9531,The athletic heart moved skin-nourshing blood that supported life,It was a critical fluid,It,blood,heart
9532,The storm pounded the morning flight,It was putting lives in peril,It,storm,flight
9533,The sniper targeted the notorious terrorist,He was a precise assassin,He,sniper,terrorist
9534,The dull knife scratched the soccer fence with a satisfying sound,It was a powerful tool,It,knife,fence
9535,The bee sought pollen from the intricate flower,It was supporting life,It,flower,bee
9536,The knife scraped the construction fence with a swift motion,It was a reliable implement,It,knife,fence
9537,The students explored the books,They were filled with knowledge,They,books,students
9538,The heavy-duty knife punctured the parking fence smoothly,It was a easily damaged and ineffective,It,fence,knife
9539,The ambitious students explored the biography books,They were written by experts,They,books,students
9540,The sailors plunged off the rickety boats,They were sinking,They,boats,sailors
9541,The winning sniper killed the brutal terrorist,He was a bad arms dealer,He,terrorist,sniper
9542,The birds worked hard for the seeds,They were sweet,They,seeds,birds
9543,The indomitable heart pumped blood with resilience,It was a lively muscle,It,heart,blood
9544,The pecking birds foraged for the seeds,They were building their nests,They,birds,seeds
9545,The athletic heart moved rejuvenating blood that reduced inflammation,It was a muscle-nourishing fluid,It,blood,heart
9546,The eager students analyzed the stimulating books,They were fostering creativity,They,students,books
9547,The opportunistic birds plucked the falling seeds,They were a high-energy food,They,seeds,birds
9548,The productive bee hovered near the flower,It was loaded with nectar,It,flower,bee
9549,The persistent students discussed the humorous books,They were outdated,They,books,students
9550,The diligent students read the adventurous books,They were filled with knowledge,They,books,students
9551,The sniper fired the notorious terrorist,He was a barbaric money launderer,He,terrorist,sniper
9552,The brave students explored the books,They were containing valuable information,They,books,students
9553,The innovative people occupied the city center against the unfair government,They were suppressing democracy,They,government,people
9554,The hardworking students scrutinized the contemporary books,They were providing new insights,They,books,students
9555,The activist people held a rally against the corrupt government,They were denying equal rights,They,government,people
9556,The birds approached the seeds,They were tasty and satisfying,They,seeds,birds
9557,The sturdy knife scratched the parking fence firmly,It was a weathered and worn,It,fence,knife
9558,The people staged a sit-in against the dismissive government,They were taking action,They,people,government
9559,The sturdy knife scraped the school fence easily,It was a well-maintained and polished,It,fence,knife
9560,The enthusiastic students studied the humorous books,They were written by experts,They,books,students
9561,The sniper targeted the terrorist,He was a ruthless criminal,He,terrorist,sniper
9562,The imaginative students reinterpreted the adventurous books,They were expanding their understanding,They,students,books
9563,The chirpy birds munched on the seeds,They were a irresistible snack,They,seeds,birds
9564,The powerful heart moved blood that nourished cells,It was a rejuvenating liquid,It,blood,heart
9565,The students reinterpreted the stimulating books,They were convincing,They,books,students
9566,The storm caused the international flight,It was carrying important documents,It,flight,storm
9567,The sniper assassinated the terrorist,He was a dangerous arms smuggler,He,terrorist,sniper
9568,The people held a sit-in against the government,They were seeking change,They,people,government
9569,The sailors dove off the rickety boats,They were repairing the hull,They,sailors,boats
9570,The sailors tumbled off the rundown boats,They were not paying attention,They,sailors,boats
9571,The dull knife scratched the fence surrounding the pool,It was old and decrepit,It,fence,knife
9572,The sturdy knife severed the school fence separating the yards,It was a weak and unstable,It,fence,knife
9573,The heart pushed blood rapidly,It was a strong muscle,It,heart,blood
9574,The people took to the street against the government,They were not giving up,They,people,government
9575,The knife sliced through the school fence with a swift motion,It was sharp and powerful,It,knife,fence
9576,The sailors tumbled off the boats,They were tipping over,They,boats,sailors
9577,The hard-working bee sought pollen from the flower,It was loaded with nectar,It,flower,bee
9578,The accurate sniper assassinated the brutal terrorist,He was a successful shooter,He,sniper,terrorist
9579,The winning sniper eliminated the terrorist,He was a dangerous combatant,He,terrorist,sniper
9580,The hard-working students scrutinized the imaginative books,They were written by experts,They,books,students
9581,The energetic people held a rally against the dismissive government,They were seeking change,They,people,government
9582,The sturdy knife scratched the weak fence with care,It was a reliable blade,It,knife,fence
9583,The heart drove blood with a clear intention,It was a diligent muscle,It,heart,blood
9584,The people staged a sit-in against the government,They were finding innovative solutions,They,people,government
9585,The determined students studied the contemporary books,They were filled with data,They,books,students
9586,The people gathered against the unrepresentative government,They were committing atrocities,They,government,people
9587,The determined bee collected nectar from the rich flower,It was a popular destination,It,flower,bee
9588,The proactive people held a hunger strike against the government,They were seeking better solutions,They,people,government
9589,The serrated knife severed the soccer fence blocking the path,It was a enclosing the private garden,It,fence,knife
9590,The knife punctured the fence easily,It was obstructive and imposing,It,fence,knife
9591,The knife cut through the parking fence with strength,It was sharp and well-oiled,It,knife,fence
9592,The powerful knife cut through the construction fence with one quick strike,It was a strong implement,It,knife,fence
9593,The massive storm frightened the flight,It was carrying important documents,It,flight,storm
9594,The imaginative students immersed themselves in the biography books,They were taking their education seriously,They,students,books
9595,The resourceful sniper fired the terrorist,He was a veteran killer,He,sniper,terrorist
9596,The bee flew from the symmetrical flower,It was an untouched paradise,It,flower,bee
9597,The sailors escaped off the unreliable boats,They were taking unnecessary risks,They,sailors,boats
9598,The agile bee hovered near the alluring flower,It was full of nectar,It,flower,bee
9599,The heavy-duty knife scratched the weak fence surrounding the property,It was a weak and unstable,It,fence,knife
9600,The quick-witted birds reached the seeds,They were rich and indulgent,They,seeds,birds
9601,The outraged people rallied for their cause against the corrupt government,They were denying fair trials,They,government,people
9602,The adventurous students pored over the intricate books,They were convincing,They,books,students
9603,The people started a march against the dishonest government,They were wasting resources,They,government,people
9604,The brave bee rested on the intricate flower,It was harvesting nectar,It,bee,flower
9605,The knife punctured the fence surrounding the pool,It was rusty and corroded,It,fence,knife
9606,The imaginative bee was determined to find the pristine flower,It was rich with nectar,It,flower,bee
9607,The birds snatched the seeds,They were a flavorful snack,They,seeds,birds
9608,The bee was determined to find the productive flower,It was harvesting pollen,It,bee,flower
9609,The people gathered against the government,They were violating human dignity,They,government,people
9610,The students learned from the books,They were entertaining,They,books,students
9611,The bee flew from the fruitful flower,It was securing food,It,bee,flower
9612,The heart beat blood with determination,It was a quick organ,It,heart,blood
9613,The storm devastated the commercial flight,It was creating dangerous conditions,It,storm,flight
9614,The storm destroyed the flight,It was causing flash floods,It,storm,flight
9615,The storm caused trouble for the commercial flight,It was carrying cargo,It,flight,storm
9616,The people led a demonstration against the government,They were asserting their power,They,people,government
9617,The powerful heart moved life-renewing blood that maintained life,It was a brain-oxygenating fluid,It,blood,heart
9618,The colorful birds kept eating the seeds,They were full of flavor,They,seeds,birds
9619,The hardworking students immersed themselves in the books,They were beautifully written,They,books,students
9620,The serrated knife cut through the fence surrounding the pool,It was rotten and weakened by time,It,fence,knife
9621,The people rallied for their cause against the government,They were suppressing religious freedoms,They,government,people
9622,The accurate sniper eliminated the terrorist,He was a notorious drug lord,He,terrorist,sniper
9623,The precision knife sliced through the fence near the garden,It was old and decrepit,It,fence,knife
9624,The knife severed the fence carefully,It was stuck for a moment,It,knife,fence
9625,The sailors escaped from the rickety boats,They were fighting for their lives,They,sailors,boats
9626,The bee buzzed around the generous flower,It was obtaining nectar,It,bee,flower
9627,The relentless storm posed a threat to the scheduled flight,It was carrying cargo,It,flight,storm
9628,The precise sniper assassinated the terrorist,He was a successful killer,He,sniper,terrorist
9629,The strong heart pumped blood with great force,It was a resilient muscle,It,heart,blood
9630,The curious sailors plunged off the boats,They were in poor condition,They,boats,sailors
9631,The knife scraped the weak fence surrounding the park,It was a strong implement,It,knife,fence
9632,The knife severed the fence firmly,It was weak and unstable,It,fence,knife
9633,The heart pumped blood with determination,It was a sturdy muscle,It,heart,blood
9634,The energetic people led a rally against the government,They were pushing for change,They,people,government
9635,The adventurous bee crawled on the pristine flower,It was an untouched paradise,It,flower,bee
9636,The students reviewed the ancient books,They were rich with meaning,They,books,students
9637,The heavy-duty knife punctured the school fence easily,It was a blocking the view,It,fence,knife
9638,The storm forced the commercial flight,It was producing tornadoes,It,storm,flight
9639,The sailors plunged off the navy boats,They were not balanced,They,boats,sailors
9640,The people staged a boycott against the unresponsive government,They were seeking change,They,people,government
9641,The bee ventured to the symmetrical flower,It was collecting essential pollen,It,bee,flower
9642,The brave bee rested on the flower,It was seeking quality nectar,It,bee,flower
9643,The formidable heart moved blood with care,It was a well-functioning organ,It,heart,blood
9644,The hardworking students read over the books,They were divisive,They,books,students
9645,The precise sniper neutralized the terrorist,He was a dangerous militant,He,terrorist,sniper
9646,The irresponsible sailors abandoned the boats,They were causing accidents,They,boats,sailors
9647,The eager birds tried the tempting seeds,They were sweet,They,seeds,birds
9648,The quick heart pumped life-enhancing blood that supported life,It was a life-invigorating liquid,It,blood,heart
9649,The people staged a demonstration against the government,They were seeking compassion,They,people,government
9650,The outraged people took action against the unrepresentative government,They were neglecting public health,They,government,people
9651,The untiring heart pushed life-enhancing blood that aided digestion,It was a healing fluid,It,blood,heart
9652,The heart beat blood that maintained life,It was a skin-nourshing fluid,It,blood,heart
9653,The turbulent storm hindered the flight,It was carrying important documents,It,flight,storm
9654,The intense storm ruined the flight,It was carrying important documents,It,flight,storm
9655,The activist people demonstrated against the unrepresentative government,They were accepting bribes,They,government,people
9656,The determined birds reached for the seeds,They were tantalizing,They,seeds,birds
9657,The sailors jumped off the dependable boats,They were facing high waves,They,sailors,boats
9658,The knife scratched the community fence surrounding the pool,It was weathered and worn,It,fence,knife
9659,The accurate sniper targeted the terrorist,He was a top assassin,He,sniper,terrorist
9660,The storm disrupted the morning flight,It was putting travelers in danger,It,storm,flight
9661,The quick heart drove brain-enhancing blood that sustained life,It was a life-invigorating fluid,It,blood,heart
9662,The self-assured heart moved energy-providing blood that aided digestion,It was a life-invigorating fluid,It,blood,heart
9663,The creative heart pumped blood with a clear intention,It was a pumping organ,It,heart,blood
9664,The sniper took out the brutal terrorist,He was a winning marksman,He,sniper,terrorist
9665,The knife cut through the fence easily,It was flimsy and weak,It,fence,knife
9666,The passionate people rallied against the corrupt government,They were perpetuating corruption,They,government,people
9667,The unpredictable storm battered the flight,It was carrying essential supplies,It,flight,storm
9668,The careless sailors fell off the well-built boats,They were sinking,They,boats,sailors
9669,The sniper eliminated the terrorist,He was a ruthless criminal,He,terrorist,sniper
9670,The hungry birds feasted on the seeds,They were fueling their bodies,They,birds,seeds
9671,The enthusiastic heart moved blood that sustained life,It was a brain-enhancing fluid,It,blood,heart
9672,The police interrogated the criminals after a tip-off,They were found guilty of robbery,They,criminals,police
9673,The sturdy knife sliced through the swimming fence with one quick strike,It was surprisingly effective,It,knife,fence
9674,The heart pushed immune-boosting blood rapidly,It was a athletic muscle,It,heart,blood
9675,The ferocious storm caused trouble for the flight,It was flying to Hawaii,It,flight,storm
9676,The resourceful sniper took down the terrorist,He was a brutal criminal,He,terrorist,sniper
9677,The chaotic storm hindered the flight,It was carrying a VIP,It,flight,storm
9678,The sturdy knife scratched the school fence surrounding the pool,It was a separating the garden from the street,It,fence,knife
9679,The heart moved blood that reduced inflammation,It was a nourishing fluid,It,blood,heart
9680,The sturdy heart moved life-enriching blood with unwavering attention,It was a streamlined muscle,It,heart,blood
9681,The intense storm threatened the flight,It was carrying cargo,It,flight,storm
9682,The adventurous sailors escaped off the boats,They were breaking apart,They,boats,sailors
9683,The dedicated students scrutinized the insightful books,They were enriching their lives,They,students,books
9684,The sailors dived off the boats,They were sailing in treacherous waters,They,sailors,boats
9685,The ferocious storm delayed the flight,It was carrying important documents,It,flight,storm
9686,The precise sniper executed the terrorist,He was a successful assassin,He,sniper,terrorist
9687,The birds tried the crisp seeds,They were exploring their surroundings,They,birds,seeds
9688,The fearless people organized a boycott against the unresponsive government,They were monitoring citizens,They,government,people
9689,The sniper killed the terrorist,He was a notorious militant,He,terrorist,sniper
9690,The storm suspended the morning flight,It was carrying a VIP,It,flight,storm
9691,The determined birds picked at the crisp seeds,They were a delicious snack,They,seeds,birds
9692,The eager birds chose the seeds,They were filled with vitamins,They,seeds,birds
9693,The sniper targeted the terrorist,He was a brutal arms dealer,He,terrorist,sniper
9694,The persistent students pored over the insightful books,They were discovering new ideas,They,students,books
9695,The starving birds found the seeds,They were flavorsome,They,seeds,birds
9696,The veteran sailors threw themselves off the boats,They were not balanced,They,boats,sailors
9697,The bee sipped nectar from the intricate flower,It was collecting pollen,It,bee,flower
9698,The students analyzed the books,They were exploring new ideas,They,students,books
9699,The sailors escaped from the dependable boats,They were taking on water,They,boats,sailors
9700,The people led a demonstration against the government,They were engaging in torture,They,government,people
9701,The agile bee alighted on the generous flower,It was finding pollen,It,bee,flower
9702,The storm postponed the flight,It was creating dangerous conditions,It,storm,flight
